cell,rmse,mae,max_abs_error,n_samples
global,0.001797,0.001247,0.01577,1300
cell_01,0.001081,0.000787,0.003945,100
cell_02,0.001167,0.000882,0.004442,100
cell_03,0.001144,0.000897,0.002984,100
cell_04,0.00162,0.001219,0.004511,100
cell_05,0.001026,0.000796,0.003596,100
cell_06,0.001839,0.001125,0.012753,100
cell_07,0.001691,0.001022,0.012038,100
cell_08,0.003713,0.003295,0.01577,100
cell_09,0.002835,0.002367,0.011527,100
cell_10,0.000987,0.000778,0.002427,100
cell_11,0.001021,0.000772,0.004635,100
cell_12,0.001337,0.001118,0.004066,100
cell_13,0.001607,0.001147,0.009157,100
