cell,rmse,mae,max_abs_error,n_samples
global,0.006611,0.005236,0.026845,1300
cell_01,0.006381,0.004961,0.017135,100
cell_02,0.006921,0.005461,0.017869,100
cell_03,0.005189,0.004007,0.019932,100
cell_04,0.006539,0.005246,0.018809,100
cell_05,0.006661,0.005564,0.016454,100
cell_06,0.006117,0.005069,0.019313,100
cell_07,0.00708,0.005822,0.022769,100
cell_08,0.005023,0.004416,0.010483,100
cell_09,0.00905,0.007149,0.026845,100
cell_10,0.005893,0.004787,0.01544,100
cell_11,0.005079,0.003781,0.01742,100
cell_12,0.00683,0.005098,0.02334,100
cell_13,0.007983,0.006706,0.019421,100
