cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.023245,0.017206,0.118207,1300
cell_01,0.018134,0.012481,0.053851,100
cell_02,0.02131,0.014976,0.077003,100
cell_03,0.022476,0.016243,0.118207,100
cell_04,0.013337,0.010844,0.052588,100
cell_05,0.019132,0.012924,0.068234,100
cell_06,0.017662,0.014258,0.05232,100
cell_07,0.013795,0.011583,0.029847,100
cell_08,0.033101,0.027536,0.088245,100
cell_09,0.041109,0.036629,0.099881,100
cell_10,0.020656,0.014427,0.077918,100
cell_11,0.018384,0.014543,0.043681,100
cell_12,0.024432,0.017944,0.064341,100
cell_13,0.0233,0.01929,0.052589,100
