cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004463,0.003097,0.034946,1300
cell_01,0.003084,0.002274,0.009226,100
cell_02,0.00312,0.002257,0.011542,100
cell_03,0.002281,0.001702,0.007796,100
cell_04,0.005208,0.0042,0.012747,100
cell_05,0.003031,0.002366,0.009162,100
cell_06,0.004489,0.002807,0.028653,100
cell_07,0.004334,0.002814,0.027084,100
cell_08,0.009022,0.008142,0.034946,100
cell_09,0.006756,0.005649,0.031901,100
cell_10,0.001649,0.001283,0.00521,100
cell_11,0.002757,0.001975,0.013881,100
cell_12,0.003516,0.002776,0.01177,100
cell_13,0.003087,0.002021,0.021786,100
