cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.029369,0.018498,0.111695,1300
cell_01,0.015064,0.011689,0.043491,100
cell_02,0.013631,0.010532,0.064567,100
cell_03,0.013134,0.009742,0.042564,100
cell_04,0.011564,0.009338,0.037867,100
cell_05,0.017633,0.014718,0.053903,100
cell_06,0.016027,0.011695,0.071285,100
cell_07,0.018828,0.015115,0.054671,100
cell_08,0.082565,0.079783,0.111695,100
cell_09,0.033692,0.022633,0.078219,100
cell_10,0.018547,0.012873,0.076717,100
cell_11,0.010893,0.008543,0.036034,100
cell_12,0.023606,0.01299,0.104829,100
cell_13,0.024485,0.020823,0.063642,100
