cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.015109,0.012122,0.087145,1300
cell_01,0.012895,0.010213,0.044207,100
cell_02,0.015361,0.012685,0.048336,100
cell_03,0.012633,0.01008,0.055201,100
cell_04,0.010152,0.007164,0.052462,100
cell_05,0.015775,0.013757,0.042925,100
cell_06,0.0173,0.013803,0.057927,100
cell_07,0.017516,0.014469,0.060552,100
cell_08,0.013072,0.01113,0.06057,100
cell_09,0.021891,0.016506,0.087145,100
cell_10,0.014668,0.012775,0.03344,100
cell_11,0.010815,0.008911,0.037332,100
cell_12,0.013918,0.01145,0.047881,100
cell_13,0.016488,0.014638,0.042809,100
