cell,rmse,mae,max_abs_error,n_samples
global,0.009718,0.007176,0.049266,1300
cell_01,0.008009,0.005442,0.023605,100
cell_02,0.00919,0.006356,0.032897,100
cell_03,0.00926,0.006609,0.049266,100
cell_04,0.005186,0.004009,0.023012,100
cell_05,0.008414,0.005802,0.029373,100
cell_06,0.007323,0.005972,0.021811,100
cell_07,0.006093,0.005125,0.013913,100
cell_08,0.013578,0.011238,0.037962,100
cell_09,0.016435,0.01467,0.040616,100
cell_10,0.008773,0.005953,0.033647,100
cell_11,0.007476,0.005733,0.019239,100
cell_12,0.010259,0.007456,0.027035,100
cell_13,0.010603,0.008922,0.023006,100
