cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.022346,0.01732,0.092102,1300
cell_01,0.017798,0.014967,0.038434,100
cell_02,0.016267,0.013778,0.04059,100
cell_03,0.014171,0.011059,0.05398,100
cell_04,0.017687,0.012198,0.077868,100
cell_05,0.020172,0.016846,0.067046,100
cell_06,0.025934,0.022886,0.081484,100
cell_07,0.027133,0.023548,0.091094,100
cell_08,0.021362,0.017254,0.058044,100
cell_09,0.035915,0.031444,0.074103,100
cell_10,0.019523,0.015609,0.05708,100
cell_11,0.014783,0.011418,0.038277,100
cell_12,0.026667,0.017404,0.092102,100
cell_13,0.022884,0.016746,0.061162,100
