cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.021505,0.016707,0.156046,1300
cell_01,0.018502,0.015005,0.040288,100
cell_02,0.016313,0.012892,0.036457,100
cell_03,0.014843,0.011872,0.033539,100
cell_04,0.018524,0.015009,0.038102,100
cell_05,0.018941,0.015825,0.039837,100
cell_06,0.018898,0.013769,0.058673,100
cell_07,0.026815,0.023394,0.051361,100
cell_08,0.026275,0.021876,0.156046,100
cell_09,0.036459,0.030024,0.093425,100
cell_10,0.0169,0.013541,0.048155,100
cell_11,0.014752,0.011556,0.037515,100
cell_12,0.01902,0.014028,0.05415,100
cell_13,0.022816,0.018405,0.048196,100
