cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.021252,0.015311,0.109915,1300
cell_01,0.019254,0.014361,0.058924,100
cell_02,0.014827,0.011356,0.079524,100
cell_03,0.015086,0.011682,0.06151,100
cell_04,0.017136,0.011571,0.057291,100
cell_05,0.018543,0.014414,0.05691,100
cell_06,0.018951,0.015544,0.049119,100
cell_07,0.019227,0.016281,0.052595,100
cell_08,0.033129,0.028938,0.06213,100
cell_09,0.031471,0.024216,0.073683,100
cell_10,0.016756,0.011127,0.073022,100
cell_11,0.012283,0.009361,0.039769,100
cell_12,0.026639,0.013699,0.109915,100
cell_13,0.021391,0.01649,0.061438,100
