03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [16%@1510,0%@1510,0%@1510,85%@1510,33%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 87%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.906C SOC2@46.968C SOC0@44.968C CV1@-256C GPU@47.5C tj@47.906C SOC1@47.531C CV2@-256C VDD_IN 6573mW/6491mW VDD_CPU_GPU_CV 1863mW/1900mW VDD_SOC 2069mW/1940mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [25%@1510,0%@1510,0%@1510,100%@1510,0%@1510,14%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.406C SOC2@46.781C SOC0@44.718C CV1@-256C GPU@48.062C tj@48.062C SOC1@47.562C CV2@-256C VDD_IN 6492mW/6491mW VDD_CPU_GPU_CV 1863mW/1897mW VDD_SOC 1988mW/1943mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,14%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.75C SOC2@46.812C SOC0@44.812C CV1@-256C GPU@47.593C tj@47.75C SOC1@47.375C CV2@-256C VDD_IN 6370mW/6483mW VDD_CPU_GPU_CV 1823mW/1892mW VDD_SOC 1907mW/1941mW
03-04-2026 13:27:11 RAM 1860/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.906C SOC0@44.812C CV1@-256C GPU@47.375C tj@47.437C SOC1@47.437C CV2@-256C VDD_IN 6289mW/6470mW VDD_CPU_GPU_CV 1823mW/1887mW VDD_SOC 1866mW/1936mW
03-04-2026 13:27:11 RAM 1863/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [42%@1510,16%@1510,16%@1510,100%@1510,16%@1510,25%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 87%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.531C SOC2@46.843C SOC0@44.75C CV1@-256C GPU@47.468C tj@47.531C SOC1@47.593C CV2@-256C VDD_IN 6289mW/6458mW VDD_CPU_GPU_CV 1863mW/1886mW VDD_SOC 1825mW/1929mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,14%@1510,14%@1510,87%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.593C SOC2@46.812C SOC0@44.75C CV1@-256C GPU@47.812C tj@47.812C SOC1@47.406C CV2@-256C VDD_IN 6248mW/6446mW VDD_CPU_GPU_CV 1863mW/1884mW VDD_SOC 1744mW/1918mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,16%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.25C SOC2@46.843C SOC0@44.781C CV1@-256C GPU@47.437C tj@47.437C SOC1@47.406C CV2@-256C VDD_IN 6167mW/6430mW VDD_CPU_GPU_CV 1823mW/1881mW VDD_SOC 1744mW/1908mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [28%@1510,0%@1510,14%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.781C SOC0@44.875C CV1@-256C GPU@47.312C tj@47.375C SOC1@47.375C CV2@-256C VDD_IN 6126mW/6414mW VDD_CPU_GPU_CV 1823mW/1878mW VDD_SOC 1704mW/1897mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.343C SOC2@46.843C SOC0@44.656C CV1@-256C GPU@47.562C tj@47.593C SOC1@47.593C CV2@-256C VDD_IN 6086mW/6398mW VDD_CPU_GPU_CV 1823mW/1875mW VDD_SOC 1663mW/1886mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.656C SOC2@46.781C SOC0@44.687C CV1@-256C GPU@47.343C tj@47.656C SOC1@47.343C CV2@-256C VDD_IN 6045mW/6381mW VDD_CPU_GPU_CV 1823mW/1872mW VDD_SOC 1623mW/1873mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,14%@1510,85%@1510,25%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.187C SOC2@46.875C SOC0@44.812C CV1@-256C GPU@47.437C tj@47.656C SOC1@47.5C CV2@-256C VDD_IN 6005mW/6364mW VDD_CPU_GPU_CV 1782mW/1868mW VDD_SOC 1623mW/1862mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.281C SOC2@46.75C SOC0@44.718C CV1@-256C GPU@47.812C tj@47.812C SOC1@47.468C CV2@-256C VDD_IN 5964mW/6347mW VDD_CPU_GPU_CV 1782mW/1865mW VDD_SOC 1623mW/1851mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.437C SOC2@46.781C SOC0@44.656C CV1@-256C GPU@47.437C tj@47.437C SOC1@47.312C CV2@-256C VDD_IN 5974mW/6331mW VDD_CPU_GPU_CV 1782mW/1861mW VDD_SOC 1582mW/1840mW
03-04-2026 13:27:11 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,14%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.656C SOC2@46.781C SOC0@44.687C CV1@-256C GPU@47.312C tj@47.656C SOC1@47.312C CV2@-256C VDD_IN 5933mW/6315mW VDD_CPU_GPU_CV 1782mW/1858mW VDD_SOC 1582mW/1830mW
03-04-2026 13:27:12 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [14%@1510,0%@1510,14%@1510,85%@1510,16%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.156C SOC2@46.687C SOC0@44.812C CV1@-256C GPU@47.625C tj@47.625C SOC1@47.375C CV2@-256C VDD_IN 5933mW/6300mW VDD_CPU_GPU_CV 1782mW/1855mW VDD_SOC 1582mW/1820mW
03-04-2026 13:27:12 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.312C SOC2@46.687C SOC0@44.625C CV1@-256C GPU@47.343C tj@47.593C SOC1@47.593C CV2@-256C VDD_IN 5892mW/6285mW VDD_CPU_GPU_CV 1782mW/1852mW VDD_SOC 1541mW/1810mW
03-04-2026 13:27:12 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [0%@1510,0%@1510,0%@1510,100%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 86%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.437C SOC2@46.812C SOC0@44.75C CV1@-256C GPU@47.406C tj@47.437C SOC1@47.281C CV2@-256C VDD_IN 5892mW/6271mW VDD_CPU_GPU_CV 1782mW/1850mW VDD_SOC 1541mW/1800mW
03-04-2026 13:27:12 RAM 1862/3425MB (lfb 66x1MB) SWAP 161/1713MB (cached 7MB) CPU [25%@1510,0%@1510,0%@1510,85%@1510,0%@1510,0%@1510] EMC_FREQ 2%@2133 GR3D_FREQ 85%@[0,624] VIC_FREQ 435 APE 200 CV0@-256C CPU@47.125C SOC2@46.843C SOC0@44.781C CV1@-256C GPU@47.187C tj@47.312C SOC1@47.312C CV2@-256C VDD_IN 5892mW/6258mW VDD_CPU_GPU_CV 1782mW/1847mW VDD_SOC 1541mW/1791mW
