cell,rmse,mae,max_abs_error,n_samples
global,0.009367,0.007279,0.038578,1300
cell_01,0.007489,0.006321,0.016331,100
cell_02,0.006829,0.005805,0.016964,100
cell_03,0.005995,0.00473,0.022476,100
cell_04,0.007334,0.005079,0.032504,100
cell_05,0.008375,0.00697,0.027553,100
cell_06,0.010912,0.009634,0.03428,100
cell_07,0.011379,0.009855,0.037888,100
cell_08,0.008992,0.007244,0.02501,100
cell_09,0.015034,0.013177,0.030655,100
cell_10,0.008252,0.006629,0.024002,100
cell_11,0.006179,0.004796,0.015853,100
cell_12,0.011176,0.007341,0.038578,100
cell_13,0.009563,0.007048,0.025281,100
