cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.015112,0.012123,0.087111,1300
cell_01,0.012891,0.010209,0.044207,100
cell_02,0.01536,0.01269,0.048344,100
cell_03,0.012634,0.01008,0.055233,100
cell_04,0.010152,0.007163,0.052454,100
cell_05,0.015776,0.013757,0.042915,100
cell_06,0.017312,0.01381,0.057924,100
cell_07,0.017526,0.01447,0.060815,100
cell_08,0.013061,0.011114,0.060532,100
cell_09,0.021898,0.016514,0.087111,100
cell_10,0.014675,0.012782,0.033446,100
cell_11,0.010816,0.008909,0.037278,100
cell_12,0.013925,0.011459,0.047855,100
cell_13,0.016486,0.014642,0.042725,100
