cell,rmse,mae,max_abs_error,n_samples
global,0.000715,0.000549,0.004414,1300
cell_01,0.000702,0.000556,0.001806,100
cell_02,0.000616,0.00047,0.001891,100
cell_03,0.000653,0.000519,0.00198,100
cell_04,0.000818,0.000644,0.002033,100
cell_05,0.000641,0.000492,0.001537,100
cell_06,0.000798,0.000576,0.004414,100
cell_07,0.000626,0.000473,0.002614,100
cell_08,0.000417,0.00033,0.001727,100
cell_09,0.001027,0.000812,0.002964,100
cell_10,0.000478,0.000392,0.001378,100
cell_11,0.000684,0.000543,0.001716,100
cell_12,0.000865,0.000731,0.001881,100
cell_13,0.000754,0.000603,0.00222,100
