cell,rmse,mae,max_abs_error,n_samples
global,0.008968,0.006968,0.065005,1300
cell_01,0.007713,0.006256,0.016786,100
cell_02,0.006803,0.005377,0.015206,100
cell_03,0.006192,0.00495,0.013994,100
cell_04,0.007728,0.006263,0.015845,100
cell_05,0.007902,0.006602,0.016617,100
cell_06,0.007875,0.005738,0.024447,100
cell_07,0.01118,0.009755,0.021407,100
cell_08,0.010957,0.009126,0.065005,100
cell_09,0.0152,0.012517,0.038954,100
cell_10,0.007048,0.005647,0.020079,100
cell_11,0.006152,0.00482,0.015674,100
cell_12,0.007935,0.005851,0.022512,100
cell_13,0.009518,0.007679,0.020091,100
