cell,rmse,mae,max_abs_error,n_samples
global,0.00889,0.006428,0.045785,1300
cell_01,0.008116,0.006068,0.024731,100
cell_02,0.006244,0.00481,0.033073,100
cell_03,0.006361,0.004948,0.025501,100
cell_04,0.007199,0.004894,0.023999,100
cell_05,0.007807,0.006108,0.023859,100
cell_06,0.00794,0.006541,0.020336,100
cell_07,0.008003,0.006771,0.021974,100
cell_08,0.013787,0.012042,0.025817,100
cell_09,0.013084,0.010044,0.030564,100
cell_10,0.007061,0.004717,0.03049,100
cell_11,0.005176,0.003934,0.016685,100
cell_12,0.011118,0.005748,0.045785,100
cell_13,0.008986,0.006939,0.025736,100
