cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004375,0.003029,0.03551,1300
cell_01,0.002957,0.002171,0.008916,100
cell_02,0.003024,0.002192,0.011702,100
cell_03,0.002257,0.001693,0.007518,100
cell_04,0.005015,0.004016,0.012474,100
cell_05,0.002897,0.002252,0.008787,100
cell_06,0.004435,0.002762,0.028426,100
cell_07,0.00423,0.002728,0.026863,100
cell_08,0.008734,0.007781,0.03551,100
cell_09,0.006795,0.005656,0.031694,100
cell_10,0.00168,0.001326,0.005099,100
cell_11,0.002645,0.001883,0.013546,100
cell_12,0.003507,0.002786,0.01196,100
cell_13,0.003189,0.002132,0.02216,100
