cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004751,0.003394,0.037639,1300
cell_01,0.00478,0.003449,0.016499,100
cell_02,0.0039,0.002678,0.013277,100
cell_03,0.003177,0.002345,0.011089,100
cell_04,0.0049,0.003724,0.014399,100
cell_05,0.00346,0.002549,0.009803,100
cell_06,0.005241,0.003587,0.037639,100
cell_07,0.004627,0.002874,0.035921,100
cell_08,0.008059,0.006747,0.018211,100
cell_09,0.006738,0.005986,0.020633,100
cell_10,0.00245,0.001916,0.00567,100
cell_11,0.003268,0.002304,0.015811,100
cell_12,0.004491,0.003114,0.014445,100
cell_13,0.00363,0.002851,0.008375,100
