cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.015867,0.012566,0.064428,1300
cell_01,0.015314,0.011906,0.041125,100
cell_02,0.016611,0.013108,0.042886,100
cell_03,0.012454,0.009617,0.047837,100
cell_04,0.015693,0.012589,0.045141,100
cell_05,0.015987,0.013353,0.039489,100
cell_06,0.014682,0.012167,0.046352,100
cell_07,0.016991,0.013972,0.054646,100
cell_08,0.012054,0.010599,0.025159,100
cell_09,0.021719,0.017157,0.064428,100
cell_10,0.014143,0.011488,0.037057,100
cell_11,0.01219,0.009075,0.041807,100
cell_12,0.016392,0.012235,0.056015,100
cell_13,0.01916,0.016095,0.046611,100
