cell,rmse,mae,max_abs_error,n_samples
global,0.012237,0.007708,0.04654,1300
cell_01,0.006277,0.00487,0.018121,100
cell_02,0.00568,0.004388,0.026903,100
cell_03,0.005472,0.004059,0.017735,100
cell_04,0.004818,0.003891,0.015778,100
cell_05,0.007347,0.006133,0.022459,100
cell_06,0.006678,0.004873,0.029702,100
cell_07,0.007845,0.006298,0.02278,100
cell_08,0.034402,0.033243,0.04654,100
cell_09,0.014038,0.00943,0.032591,100
cell_10,0.007728,0.005364,0.031965,100
cell_11,0.004539,0.00356,0.015014,100
cell_12,0.009836,0.005412,0.043679,100
cell_13,0.010202,0.008676,0.026517,100
