cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.029378,0.018502,0.111695,1300
cell_01,0.015043,0.011695,0.043491,100
cell_02,0.01369,0.010584,0.064567,100
cell_03,0.013146,0.009772,0.041392,100
cell_04,0.011538,0.009332,0.036695,100
cell_05,0.017583,0.014648,0.053903,100
cell_06,0.016065,0.011722,0.071285,100
cell_07,0.018752,0.015087,0.052328,100
cell_08,0.082625,0.079853,0.111695,100
cell_09,0.033693,0.022598,0.079391,100
cell_10,0.01851,0.01285,0.076717,100
cell_11,0.010905,0.008587,0.036034,100
cell_12,0.02362,0.012987,0.103658,100
cell_13,0.024484,0.020812,0.064228,100
