cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.002467,0.001865,0.016883,1300
cell_01,0.002367,0.001769,0.00588,100
cell_02,0.002393,0.001635,0.006701,100
cell_03,0.002231,0.001434,0.010003,100
cell_04,0.002603,0.002084,0.006338,100
cell_05,0.002194,0.001651,0.0059,100
cell_06,0.002673,0.001722,0.016883,100
cell_07,0.002706,0.001956,0.006011,100
cell_08,0.003684,0.003627,0.005366,100
cell_09,0.002506,0.002142,0.006988,100
cell_10,0.001456,0.001145,0.003836,100
cell_11,0.002041,0.00147,0.006316,100
cell_12,0.002679,0.001995,0.006732,100
cell_13,0.001859,0.00161,0.004148,100
