cell,rmse,mae,max_abs_error,n_samples
global,0.008195,0.006228,0.06305,1300
cell_01,0.006819,0.005418,0.014714,100
cell_02,0.005987,0.004641,0.013925,100
cell_03,0.005525,0.004557,0.012362,100
cell_04,0.006697,0.005402,0.014801,100
cell_05,0.006929,0.005609,0.015246,100
cell_06,0.007715,0.005513,0.024331,100
cell_07,0.01053,0.00908,0.021637,100
cell_08,0.00953,0.007358,0.06305,100
cell_09,0.01462,0.011963,0.039026,100
cell_10,0.006298,0.004977,0.017805,100
cell_11,0.005382,0.004271,0.013919,100
cell_12,0.007246,0.005445,0.020738,100
cell_13,0.008435,0.006736,0.019008,100
