model,precision,batch_size,global_rmse_ah,global_maxe_ah,cell_01_rmse_ah,cell_02_rmse_ah,cell_03_rmse_ah,cell_04_rmse_ah,cell_05_rmse_ah,cell_06_rmse_ah,cell_07_rmse_ah,cell_08_rmse_ah,cell_09_rmse_ah,cell_10_rmse_ah,cell_11_rmse_ah,cell_12_rmse_ah,cell_13_rmse_ah,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-GRU,fp16,1,0.021252,0.109915,0.019254,0.014827,0.015086,0.017136,0.018543,0.018951,0.019227,0.033129,0.031471,0.016756,0.012283,0.026639,0.021391,4.4531,4.4448,224.9799,4.4448,,,
CNN-GRU,fp32,1,0.021335,0.109996,0.019468,0.015057,0.015271,0.017266,0.018799,0.01904,0.01922,0.03294,0.031414,0.016977,0.012442,0.026704,0.021616,4.7291,4.7004,212.7494,4.7004,,,
CNN-GRU,int8,1,0.021252,0.109915,0.019254,0.014827,0.015086,0.017136,0.018543,0.018951,0.019227,0.033129,0.031471,0.016756,0.012283,0.026639,0.021391,4.9168,4.6972,212.8946,4.6972,,,
CNN-GRU,fp16,32,0.021305,0.108345,0.019826,0.01504,0.01523,0.017212,0.018983,0.019285,0.018408,0.033248,0.030783,0.017017,0.012527,0.026763,0.021599,5.509,5.4639,5856.6264,0.1707,,,
CNN-GRU,fp32,32,0.021337,0.109884,0.019479,0.014985,0.015265,0.017277,0.018736,0.019057,0.019206,0.033089,0.031402,0.016946,0.012422,0.026684,0.021567,7.5554,7.3201,4371.5205,0.2288,,,
CNN-GRU,int8,32,0.021305,0.108345,0.019826,0.01504,0.01523,0.017212,0.018983,0.019285,0.018408,0.033248,0.030783,0.017017,0.012527,0.026763,0.021599,5.5785,5.5358,5780.5245,0.173,,,
CNN-LSTM,fp16,1,0.022481,0.092587,0.017974,0.016389,0.014387,0.017602,0.0201,0.026188,0.027311,0.02158,0.036082,0.019805,0.01483,0.026822,0.022952,4.7013,4.4814,223.1448,4.4814,,,
CNN-LSTM,fp32,1,0.022346,0.092102,0.017798,0.016267,0.014171,0.017687,0.020172,0.025934,0.027133,0.021362,0.035915,0.019523,0.014783,0.026667,0.022884,4.9058,4.669,214.1789,4.669,,,
CNN-LSTM,int8,1,0.022481,0.092587,0.017974,0.016389,0.014387,0.017602,0.0201,0.026188,0.027311,0.02158,0.036082,0.019805,0.01483,0.026822,0.022952,4.5373,4.4816,223.1336,4.4816,,,
CNN-LSTM,fp16,32,0.022481,0.092437,0.017861,0.016356,0.01459,0.017572,0.019973,0.026361,0.027224,0.021515,0.036301,0.019674,0.014923,0.026852,0.022699,5.8079,5.7519,5563.3383,0.1797,,,
CNN-LSTM,fp32,32,0.022358,0.092157,0.017814,0.016288,0.014172,0.017698,0.020197,0.025952,0.02715,0.021358,0.035923,0.019535,0.014796,0.026672,0.022902,6.6305,6.427,4978.9904,0.2008,,,
CNN-LSTM,int8,32,0.022481,0.092437,0.017861,0.016356,0.01459,0.017572,0.019973,0.026361,0.027224,0.021515,0.036301,0.019674,0.014923,0.026852,0.022699,5.774,5.7571,5558.3761,0.1799,,,
GRU,fp16,1,0.001717,0.010592,0.001685,0.001479,0.001567,0.001962,0.001538,0.001914,0.001502,0.001002,0.002466,0.001148,0.001641,0.002077,0.001809,4.6232,4.5898,217.8723,4.5898,,,
GRU,fp32,1,0.001723,0.010552,0.001698,0.001488,0.001572,0.001978,0.001548,0.001925,0.001512,0.001032,0.002455,0.001146,0.00165,0.002088,0.001795,4.638,4.5978,217.4943,4.5978,,,
GRU,int8,1,0.001717,0.010592,0.001685,0.001479,0.001567,0.001962,0.001538,0.001914,0.001502,0.001002,0.002466,0.001148,0.001641,0.002077,0.001809,4.8349,4.5946,217.6468,4.5946,,,
GRU,fp16,32,0.0043,0.012168,0.004273,0.004543,0.004892,0.005092,0.004162,0.004289,0.004367,0.002164,0.00368,0.004359,0.004967,0.004336,0.00401,5.7388,5.4143,5910.2734,0.1692,,,
GRU,fp32,32,0.001717,0.010612,0.001686,0.00148,0.001561,0.001967,0.001543,0.001911,0.001508,0.000997,0.002471,0.001145,0.001639,0.002074,0.001813,7.1271,6.8491,4672.1188,0.214,,,
GRU,int8,32,0.0043,0.012168,0.004273,0.004543,0.004892,0.005092,0.004162,0.004289,0.004367,0.002164,0.00368,0.004359,0.004967,0.004336,0.00401,5.44,5.3851,5942.2872,0.1683,,,
LSTM,fp16,1,0.004968,0.038033,0.005371,0.004202,0.00316,0.005436,0.00377,0.005218,0.004512,0.009014,0.006628,0.002286,0.003485,0.004797,0.002738,4.4096,4.3715,228.752,4.3715,,,
LSTM,fp32,1,0.004993,0.038073,0.00543,0.004249,0.003179,0.005499,0.00381,0.005198,0.004512,0.009087,0.006589,0.002294,0.00352,0.00484,0.00269,4.6422,4.5871,218.0015,4.5871,,,
LSTM,int8,1,0.004968,0.038033,0.005371,0.004202,0.00316,0.005436,0.00377,0.005218,0.004512,0.009014,0.006628,0.002286,0.003485,0.004797,0.002738,4.4134,4.3758,228.5287,4.3758,,,
LSTM,fp16,32,0.004751,0.037639,0.00478,0.0039,0.003177,0.0049,0.00346,0.005241,0.004627,0.008059,0.006738,0.00245,0.003268,0.004491,0.00363,5.6497,5.6202,5693.7281,0.1756,,,
LSTM,fp32,32,0.004944,0.038019,0.005344,0.004172,0.00317,0.005392,0.003745,0.005195,0.004475,0.008955,0.006588,0.002321,0.003475,0.004787,0.002768,6.1965,5.9543,5374.2439,0.1861,,,
LSTM,int8,32,0.004751,0.037639,0.00478,0.0039,0.003177,0.0049,0.00346,0.005241,0.004627,0.008059,0.006738,0.00245,0.003268,0.004491,0.00363,5.6906,5.6351,5678.6975,0.1761,,,
TCN,fp16,1,0.015109,0.087145,0.012895,0.015361,0.012633,0.010152,0.015775,0.0173,0.017516,0.013072,0.021891,0.014668,0.010815,0.013918,0.016488,0.1838,0.1687,5926.6138,0.1687,,,
TCN,fp32,1,0.015021,0.090245,0.01263,0.015079,0.012645,0.009838,0.015582,0.017281,0.017247,0.014519,0.021568,0.014567,0.010675,0.013852,0.016019,0.1918,0.1817,5503.5296,0.1817,,,
TCN,int8,1,0.015867,0.064428,0.015314,0.016611,0.012454,0.015693,0.015987,0.014682,0.016991,0.012054,0.021719,0.014143,0.01219,0.016392,0.01916,0.1852,0.1649,6064.4833,0.1649,,,
TCN,fp16,32,0.015112,0.087137,0.0129,0.015362,0.012638,0.010151,0.015779,0.017308,0.01753,0.013063,0.021895,0.014677,0.010816,0.013917,0.016489,0.3106,0.2825,113267.9603,0.0088,,,
TCN,fp32,32,0.015023,0.090189,0.012635,0.015081,0.012646,0.009839,0.015595,0.017288,0.017247,0.014496,0.02157,0.014571,0.010674,0.013859,0.016024,0.3643,0.3577,89456.1105,0.0112,,,
TCN,int8,32,0.015112,0.087111,0.012891,0.01536,0.012634,0.010152,0.015776,0.017312,0.017526,0.013061,0.021898,0.014675,0.010816,0.013925,0.016486,0.2801,0.2809,113916.9033,0.0088,,,
