cell,rmse,mae,max_abs_error,n_samples
global,0.001027,0.000777,0.007066,1300
cell_01,0.000984,0.000734,0.002443,100
cell_02,0.000997,0.000685,0.002791,100
cell_03,0.000929,0.000596,0.004192,100
cell_04,0.001083,0.000867,0.002645,100
cell_05,0.000914,0.000689,0.002459,100
cell_06,0.001116,0.000715,0.007066,100
cell_07,0.00113,0.000823,0.0025,100
cell_08,0.001518,0.001495,0.002196,100
cell_09,0.001047,0.000896,0.002871,100
cell_10,0.000609,0.000481,0.001612,100
cell_11,0.000853,0.000615,0.002631,100
cell_12,0.001113,0.000825,0.002802,100
cell_13,0.000781,0.000678,0.001735,100
