cell,rmse,mae,max_abs_error,n_samples
global,0.00208,0.001469,0.015864,1300
cell_01,0.002263,0.001645,0.007018,100
cell_02,0.001771,0.001146,0.006097,100
cell_03,0.001324,0.000996,0.004787,100
cell_04,0.002291,0.001725,0.005928,100
cell_05,0.001588,0.001152,0.004362,100
cell_06,0.002166,0.001443,0.015864,100
cell_07,0.00188,0.00119,0.014935,100
cell_08,0.003786,0.0033,0.007977,100
cell_09,0.002745,0.00249,0.008497,100
cell_10,0.000956,0.000749,0.002592,100
cell_11,0.001467,0.001003,0.006894,100
cell_12,0.002016,0.001365,0.006191,100
cell_13,0.001121,0.000895,0.002811,100
