cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.015112,0.012125,0.087137,1300
cell_01,0.0129,0.010218,0.044235,100
cell_02,0.015362,0.01269,0.048293,100
cell_03,0.012638,0.010086,0.055207,100
cell_04,0.010151,0.007167,0.052412,100
cell_05,0.015779,0.013758,0.042961,100
cell_06,0.017308,0.013811,0.057908,100
cell_07,0.01753,0.014481,0.060709,100
cell_08,0.013063,0.011112,0.060617,100
cell_09,0.021895,0.016507,0.087137,100
cell_10,0.014677,0.012785,0.033419,100
cell_11,0.010816,0.008914,0.037307,100
cell_12,0.013917,0.01145,0.047837,100
cell_13,0.016489,0.014641,0.042847,100
