cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.001723,0.001323,0.010552,1300
cell_01,0.001698,0.001345,0.004376,100
cell_02,0.001488,0.001133,0.004579,100
cell_03,0.001572,0.001247,0.004787,100
cell_04,0.001978,0.001563,0.004892,100
cell_05,0.001548,0.001187,0.003699,100
cell_06,0.001925,0.001393,0.010552,100
cell_07,0.001512,0.001139,0.006319,100
cell_08,0.001032,0.00082,0.004187,100
cell_09,0.002455,0.001932,0.007103,100
cell_10,0.001146,0.000937,0.003304,100
cell_11,0.00165,0.001311,0.004145,100
cell_12,0.002088,0.001761,0.004531,100
cell_13,0.001795,0.001437,0.005287,100
