cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004312,0.002992,0.037848,1300
cell_01,0.002594,0.001888,0.009468,100
cell_02,0.002801,0.002117,0.010661,100
cell_03,0.002746,0.002152,0.007162,100
cell_04,0.003888,0.002927,0.010828,100
cell_05,0.002463,0.00191,0.008631,100
cell_06,0.004413,0.0027,0.030608,100
cell_07,0.004058,0.002454,0.02889,100
cell_08,0.008911,0.007908,0.037848,100
cell_09,0.006803,0.005681,0.027664,100
cell_10,0.002369,0.001866,0.005826,100
cell_11,0.002452,0.001853,0.011124,100
cell_12,0.003209,0.002683,0.009758,100
cell_13,0.003856,0.002753,0.021978,100
