cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.022481,0.01747,0.092587,1300
cell_01,0.017974,0.015171,0.039195,100
cell_02,0.016389,0.013931,0.040714,100
cell_03,0.014387,0.011351,0.053942,100
cell_04,0.017602,0.01219,0.07801,100
cell_05,0.0201,0.016728,0.066127,100
cell_06,0.026188,0.023122,0.082272,100
cell_07,0.027311,0.023651,0.090932,100
cell_08,0.02158,0.017385,0.060024,100
cell_09,0.036082,0.031626,0.073572,100
cell_10,0.019805,0.015909,0.057605,100
cell_11,0.01483,0.011512,0.038046,100
cell_12,0.026822,0.017618,0.092587,100
cell_13,0.022952,0.016916,0.060674,100
