cell,rmse,mae,max_abs_error,n_samples
global,0.006297,0.005052,0.036307,1300
cell_01,0.005375,0.004257,0.018431,100
cell_02,0.006401,0.005287,0.020122,100
cell_03,0.005266,0.004203,0.023003,100
cell_04,0.00423,0.002986,0.021838,100
cell_05,0.006574,0.005732,0.017901,100
cell_06,0.007212,0.005755,0.024128,100
cell_07,0.007304,0.006034,0.025296,100
cell_08,0.005443,0.00463,0.025257,100
cell_09,0.009123,0.006878,0.036307,100
cell_10,0.006115,0.005327,0.013925,100
cell_11,0.004507,0.003714,0.015545,100
cell_12,0.005799,0.004771,0.019932,100
cell_13,0.00687,0.0061,0.017853,100
