cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.021337,0.015427,0.109884,1300
cell_01,0.019479,0.014563,0.059355,100
cell_02,0.014985,0.011544,0.079376,100
cell_03,0.015265,0.011874,0.061203,100
cell_04,0.017277,0.011747,0.057599,100
cell_05,0.018736,0.01466,0.057261,100
cell_06,0.019057,0.015699,0.048807,100
cell_07,0.019206,0.01625,0.052737,100
cell_08,0.033089,0.028902,0.061961,100
cell_09,0.031402,0.024105,0.073354,100
cell_10,0.016946,0.011322,0.073176,100
cell_11,0.012422,0.009441,0.040044,100
cell_12,0.026684,0.013795,0.109884,100
cell_13,0.021567,0.016655,0.061767,100
