cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004944,0.003499,0.038019,1300
cell_01,0.005344,0.003887,0.016619,100
cell_02,0.004172,0.002702,0.014472,100
cell_03,0.00317,0.002404,0.011263,100
cell_04,0.005392,0.004068,0.014148,100
cell_05,0.003745,0.002751,0.010353,100
cell_06,0.005195,0.003467,0.038019,100
cell_07,0.004475,0.002805,0.035769,100
cell_08,0.008955,0.007771,0.019092,100
cell_09,0.006588,0.005968,0.020341,100
cell_10,0.002321,0.001813,0.006095,100
cell_11,0.003475,0.002398,0.01643,100
cell_12,0.004787,0.003257,0.014965,100
cell_13,0.002768,0.002194,0.006936,100
