cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.021523,0.016723,0.156012,1300
cell_01,0.018512,0.015014,0.040285,100
cell_02,0.016328,0.012904,0.036494,100
cell_03,0.014861,0.011881,0.033585,100
cell_04,0.018548,0.015032,0.038029,100
cell_05,0.018964,0.015845,0.039882,100
cell_06,0.0189,0.013772,0.058673,100
cell_07,0.026833,0.023412,0.051377,100
cell_08,0.026296,0.021903,0.156012,100
cell_09,0.036481,0.030041,0.093489,100
cell_10,0.016916,0.013552,0.04819,100
cell_11,0.014765,0.011568,0.037618,100
cell_12,0.019045,0.014043,0.054029,100
cell_13,0.022844,0.018429,0.048219,100
