cell,rmse,mae,max_abs_error,n_samples
global,0.008192,0.006226,0.062882,1300
cell_01,0.006804,0.005402,0.014953,100
cell_02,0.005981,0.004643,0.013807,100
cell_03,0.005527,0.004561,0.012338,100
cell_04,0.006666,0.005373,0.014611,100
cell_05,0.006952,0.005625,0.015495,100
cell_06,0.007701,0.005502,0.024345,100
cell_07,0.010541,0.009095,0.021548,100
cell_08,0.009507,0.007341,0.062882,100
cell_09,0.014612,0.011961,0.038953,100
cell_10,0.006329,0.004994,0.018053,100
cell_11,0.005391,0.004259,0.01395,100
cell_12,0.007259,0.005451,0.020902,100
cell_13,0.008425,0.006729,0.018875,100
