cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.029357,0.01849,0.111695,1300
cell_01,0.015027,0.011654,0.043491,100
cell_02,0.01369,0.010581,0.064567,100
cell_03,0.013125,0.00974,0.042564,100
cell_04,0.011625,0.009379,0.037867,100
cell_05,0.017572,0.014651,0.053903,100
cell_06,0.016035,0.011713,0.071285,100
cell_07,0.018793,0.015121,0.052328,100
cell_08,0.082537,0.079759,0.111695,100
cell_09,0.033649,0.02258,0.079391,100
cell_10,0.018534,0.012844,0.076717,100
cell_11,0.010898,0.008531,0.036034,100
cell_12,0.023633,0.013006,0.104829,100
cell_13,0.024471,0.020812,0.063642,100
