cell,rmse,mae,max_abs_error,n_samples
global,0.012499,0.00807,0.046384,1300
cell_01,0.006615,0.005312,0.018083,100
cell_02,0.006295,0.004931,0.026643,100
cell_03,0.005925,0.004418,0.016402,100
cell_04,0.004835,0.003911,0.01491,100
cell_05,0.008109,0.006873,0.023898,100
cell_06,0.00684,0.005083,0.029913,100
cell_07,0.007009,0.005784,0.02032,100
cell_08,0.035058,0.034047,0.046384,100
cell_09,0.013374,0.00917,0.030548,100
cell_10,0.008316,0.005805,0.033604,100
cell_11,0.005288,0.004239,0.017723,100
cell_12,0.009876,0.005713,0.042889,100
cell_13,0.01117,0.009624,0.026997,100
