cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.019647,0.01493,0.150868,1300
cell_01,0.016316,0.012955,0.035931,100
cell_02,0.014344,0.011136,0.033243,100
cell_03,0.013247,0.010932,0.029523,100
cell_04,0.015975,0.012878,0.035037,100
cell_05,0.016668,0.013486,0.037064,100
cell_06,0.018475,0.013201,0.058431,100
cell_07,0.025284,0.021815,0.051653,100
cell_08,0.022792,0.01759,0.150868,100
cell_09,0.035052,0.028688,0.093415,100
cell_10,0.015174,0.011977,0.043273,100
cell_11,0.012929,0.010216,0.033524,100
cell_12,0.017416,0.013079,0.050109,100
cell_13,0.020206,0.016135,0.045227,100
