cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.00383,0.003118,0.014742,1300
cell_01,0.004622,0.003941,0.008871,100
cell_02,0.003879,0.003095,0.010451,100
cell_03,0.003542,0.002746,0.011332,100
cell_04,0.003921,0.003224,0.009373,100
cell_05,0.003823,0.003131,0.009648,100
cell_06,0.003739,0.002887,0.014742,100
cell_07,0.003971,0.003157,0.010404,100
cell_08,0.004294,0.004068,0.008196,100
cell_09,0.003871,0.003329,0.010094,100
cell_10,0.003102,0.002517,0.007092,100
cell_11,0.003611,0.002868,0.010888,100
cell_12,0.003845,0.003028,0.010214,100
cell_13,0.003342,0.002541,0.009387,100
