cell,rmse,mae,max_abs_error,n_samples
global,0.00206,0.001458,0.015841,1300
cell_01,0.002227,0.00162,0.006924,100
cell_02,0.001738,0.001126,0.00603,100
cell_03,0.001321,0.001002,0.004693,100
cell_04,0.002247,0.001695,0.005895,100
cell_05,0.00156,0.001146,0.004314,100
cell_06,0.002165,0.001444,0.015841,100
cell_07,0.001865,0.001169,0.014904,100
cell_08,0.003731,0.003238,0.007955,100
cell_09,0.002745,0.002487,0.008475,100
cell_10,0.000967,0.000756,0.00254,100
cell_11,0.001448,0.000999,0.006846,100
cell_12,0.001995,0.001357,0.006235,100
cell_13,0.001153,0.000914,0.00289,100
