model,precision,batch_size,global_rmse_ah,global_maxe_ah,cell_01_rmse_ah,cell_02_rmse_ah,cell_03_rmse_ah,cell_04_rmse_ah,cell_05_rmse_ah,cell_06_rmse_ah,cell_07_rmse_ah,cell_08_rmse_ah,cell_09_rmse_ah,cell_10_rmse_ah,cell_11_rmse_ah,cell_12_rmse_ah,cell_13_rmse_ah,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-GRU,fp16,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,6.963,6.8944,145.0462,6.8944,4799.45,1438.19,33.0893
CNN-GRU,fp32,1,0.029998,0.111322,0.015877,0.015109,0.01422,0.011605,0.019462,0.016417,0.016821,0.08414,0.032098,0.019958,0.012691,0.023703,0.026809,7.0494,7.0135,142.582,7.0135,4814.24,1463.0,33.7647
CNN-GRU,int8,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,6.9783,6.9474,143.9393,6.9474,4800.34,1463.0,33.3499
CNN-GRU,fp16,32,0.029357,0.111695,0.015027,0.01369,0.013125,0.011625,0.017572,0.016035,0.018793,0.082537,0.033649,0.018534,0.010898,0.023633,0.024471,7.7526,7.7224,4143.793,0.2413,5073.33,1509.88,39.1783
CNN-GRU,fp32,32,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,10.2732,10.2483,3122.46,0.3203,5291.65,1587.41,54.2304
CNN-GRU,int8,32,0.029369,0.111695,0.015064,0.013631,0.013134,0.011564,0.017633,0.016027,0.018828,0.082565,0.033692,0.018547,0.010893,0.023606,0.024485,7.7619,7.7409,4133.8654,0.2419,5082.08,1522.08,39.3399
CNN-GRU,fp16,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,11.7218,11.4597,8377.1687,0.1194,5525.57,1632.77,63.3214
CNN-GRU,fp32,96,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,14.5891,14.4341,6650.9105,0.1504,6040.88,1747.97,87.1947
CNN-GRU,int8,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,11.6818,11.3866,8430.9463,0.1186,5536.76,1638.15,63.0449
CNN-LSTM,fp16,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,6.7482,6.7167,148.8823,6.7167,4801.86,1463.0,32.2527
CNN-LSTM,fp32,1,0.023331,0.118313,0.019233,0.022064,0.022215,0.012437,0.020211,0.017581,0.014655,0.032591,0.039446,0.021071,0.017937,0.02462,0.025472,6.752,6.7174,148.8679,6.7174,4802.5,1463.0,32.2603
CNN-LSTM,int8,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,6.711,6.6818,149.6595,6.6818,4786.92,1454.9,31.9852
CNN-LSTM,fp16,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,8.7272,8.6791,3686.9998,0.2712,4963.71,1501.98,43.0805
CNN-LSTM,fp32,32,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014624,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,9.6785,9.6468,3317.165,0.3015,5239.75,1548.04,50.5468
CNN-LSTM,int8,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,8.7059,8.6597,3695.2873,0.2706,4961.78,1503.0,42.9675
CNN-LSTM,fp16,96,0.023171,0.119176,0.018051,0.021385,0.022522,0.013179,0.019262,0.017464,0.013343,0.03296,0.040637,0.020715,0.018408,0.024618,0.023447,10.9758,10.6367,9025.3349,0.1108,5501.1,1596.04,58.5136
CNN-LSTM,fp32,96,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014623,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,14.2696,14.0695,6823.2773,0.1466,5881.91,1678.26,82.7555
CNN-LSTM,int8,96,0.023171,0.119176,0.018051,0.021385,0.022522,0.013179,0.019262,0.017464,0.013343,0.03296,0.040637,0.020715,0.018408,0.024618,0.023447,11.0089,10.738,8940.1841,0.1119,5492.75,1590.75,58.9811
GRU,fp16,1,0.002464,0.016958,0.002362,0.002393,0.002231,0.002598,0.002194,0.002678,0.002711,0.003644,0.002512,0.001462,0.002047,0.00267,0.001875,6.9061,6.869,145.5812,6.869,4757.46,1463.0,32.679
GRU,fp32,1,0.002467,0.016883,0.002367,0.002393,0.002231,0.002603,0.002194,0.002673,0.002706,0.003684,0.002506,0.001456,0.002041,0.002679,0.001859,6.8109,6.753,148.0818,6.753,4755.13,1422.0,32.1114
GRU,int8,1,0.002464,0.016958,0.002362,0.002393,0.002231,0.002598,0.002194,0.002678,0.002711,0.003644,0.002512,0.001462,0.002047,0.00267,0.001875,6.8966,6.8553,145.8729,6.8553,4754.11,1429.31,32.5909
GRU,fp16,32,0.003829,0.014742,0.004573,0.003944,0.003464,0.003872,0.00388,0.003692,0.004007,0.004117,0.003864,0.003211,0.003683,0.003892,0.003391,7.566,7.5369,4245.76,0.2355,5001.18,1503.0,37.6934
GRU,fp32,32,0.002463,0.016913,0.002361,0.002391,0.00223,0.002597,0.002192,0.002674,0.002704,0.003665,0.002506,0.001456,0.002036,0.002674,0.001861,9.5989,9.5445,3352.6994,0.2983,5169.06,1555.96,49.3361
GRU,int8,32,0.003829,0.014742,0.004573,0.003944,0.003464,0.003872,0.00388,0.003692,0.004007,0.004117,0.003864,0.003211,0.003683,0.003892,0.003391,7.5387,7.5164,4257.3354,0.2349,5021.17,1503.78,37.7411
GRU,fp16,96,0.00383,0.014742,0.004622,0.003879,0.003542,0.003921,0.003823,0.003739,0.003971,0.004294,0.003871,0.003102,0.003611,0.003845,0.003342,11.0356,10.6084,9049.422,0.1105,5444.63,1621.36,57.7588
GRU,fp32,96,0.002463,0.016913,0.002361,0.002391,0.00223,0.002597,0.002192,0.002674,0.002704,0.003665,0.002506,0.001456,0.002036,0.002674,0.001861,12.7981,12.6107,7612.5661,0.1314,5868.18,1714.19,74.0019
GRU,int8,96,0.00383,0.014742,0.004622,0.003879,0.003542,0.003921,0.003823,0.003739,0.003971,0.004294,0.003871,0.003102,0.003611,0.003845,0.003342,11.0559,10.8537,8844.921,0.1131,5447.75,1622.13,59.1282
LSTM,fp16,1,0.004479,0.034929,0.003102,0.00315,0.002293,0.005255,0.003068,0.004499,0.004359,0.009066,0.006722,0.001646,0.002792,0.003532,0.003055,6.6074,6.5475,152.7294,6.5475,4767.37,1451.51,31.2144
LSTM,fp32,1,0.004375,0.03551,0.002957,0.003024,0.002257,0.005015,0.002897,0.004435,0.00423,0.008734,0.006795,0.00168,0.002645,0.003507,0.003189,6.6464,6.5732,152.132,6.5732,4773.11,1449.68,31.3746
LSTM,int8,1,0.004479,0.034929,0.003102,0.00315,0.002293,0.005255,0.003068,0.004499,0.004359,0.009066,0.006722,0.001646,0.002792,0.003532,0.003055,6.6085,6.5525,152.613,6.5525,4763.52,1438.29,31.213
LSTM,fp16,32,0.004312,0.037848,0.002594,0.002801,0.002746,0.003888,0.002463,0.004413,0.004058,0.008911,0.006803,0.002369,0.002452,0.003209,0.003856,8.5041,8.4682,3778.8487,0.2646,4916.0,1497.68,41.6297
LSTM,fp32,32,0.004463,0.034946,0.003084,0.00312,0.002281,0.005208,0.003031,0.004489,0.004334,0.009022,0.006756,0.001649,0.002757,0.003516,0.003087,9.005,8.9743,3565.7574,0.2804,5162.96,1543.48,46.334
LSTM,int8,32,0.004312,0.037848,0.002594,0.002801,0.002746,0.003888,0.002463,0.004413,0.004058,0.008911,0.006803,0.002369,0.002452,0.003209,0.003856,8.5039,8.4838,3771.8751,0.2651,4928.54,1501.03,41.8127
LSTM,fp16,96,0.00432,0.037848,0.002588,0.002832,0.002703,0.003916,0.002456,0.004494,0.004055,0.008872,0.00681,0.002371,0.002512,0.003279,0.003843,10.4079,10.0435,9558.4433,0.1046,5404.32,1581.47,54.2783
LSTM,fp32,96,0.004463,0.034946,0.003084,0.00312,0.002282,0.005207,0.003032,0.004489,0.004333,0.009022,0.006756,0.001649,0.002757,0.003516,0.003087,12.3204,12.1155,7923.7525,0.1262,5756.26,1661.59,69.74
LSTM,int8,96,0.00432,0.037848,0.002588,0.002832,0.002703,0.003916,0.002456,0.004494,0.004055,0.008872,0.00681,0.002371,0.002512,0.003279,0.003843,10.405,10.0552,9547.3224,0.1047,5416.75,1581.95,54.4665
