cell,rmse,mae,max_abs_error,n_samples
global,0.009367,0.007278,0.038515,1300
cell_01,0.007442,0.006307,0.015912,100
cell_02,0.006815,0.005794,0.017137,100
cell_03,0.006079,0.004838,0.022069,100
cell_04,0.007322,0.005025,0.032552,100
cell_05,0.008322,0.006885,0.027985,100
cell_06,0.010984,0.009728,0.033807,100
cell_07,0.011343,0.009792,0.037913,100
cell_08,0.008964,0.007193,0.024964,100
cell_09,0.015126,0.013285,0.030614,100
cell_10,0.008197,0.006594,0.023803,100
cell_11,0.006218,0.004812,0.015865,100
cell_12,0.011188,0.00738,0.038515,100
cell_13,0.009458,0.006972,0.025028,100
