cell,rmse,mae,max_abs_error,n_samples
global,0.00186,0.001291,0.014561,1300
cell_01,0.001285,0.000947,0.003844,100
cell_02,0.0013,0.00094,0.004809,100
cell_03,0.000951,0.000709,0.003248,100
cell_04,0.00217,0.00175,0.005311,100
cell_05,0.001263,0.000986,0.003821,100
cell_06,0.001871,0.001169,0.011939,100
cell_07,0.001805,0.001172,0.011285,100
cell_08,0.003759,0.003393,0.014561,100
cell_09,0.002815,0.002354,0.013292,100
cell_10,0.000687,0.000534,0.002171,100
cell_11,0.001149,0.000823,0.005784,100
cell_12,0.001465,0.001157,0.004904,100
cell_13,0.001286,0.000842,0.009077,100
