cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.002464,0.001864,0.016958,1300
cell_01,0.002362,0.001762,0.005863,100
cell_02,0.002393,0.001643,0.006699,100
cell_03,0.002231,0.00143,0.010061,100
cell_04,0.002598,0.002081,0.006349,100
cell_05,0.002194,0.001653,0.005901,100
cell_06,0.002678,0.001715,0.016958,100
cell_07,0.002711,0.001974,0.006001,100
cell_08,0.003644,0.003587,0.00527,100
cell_09,0.002512,0.002151,0.006891,100
cell_10,0.001462,0.001153,0.003868,100
cell_11,0.002047,0.001476,0.006315,100
cell_12,0.00267,0.00198,0.006725,100
cell_13,0.001875,0.001627,0.004164,100
