cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.021335,0.015435,0.109996,1300
cell_01,0.019468,0.014569,0.059155,100
cell_02,0.015057,0.011642,0.079586,100
cell_03,0.015271,0.011872,0.061381,100
cell_04,0.017266,0.011725,0.057514,100
cell_05,0.018799,0.014734,0.05733,100
cell_06,0.01904,0.01563,0.04902,100
cell_07,0.01922,0.016272,0.052718,100
cell_08,0.03294,0.028753,0.061937,100
cell_09,0.031414,0.024167,0.073411,100
cell_10,0.016977,0.011391,0.073119,100
cell_11,0.012442,0.009458,0.040123,100
cell_12,0.026704,0.013749,0.109996,100
cell_13,0.021616,0.016689,0.0618,100
