cell,rmse,mae,max_abs_error,n_samples
global,0.001823,0.001262,0.014796,1300
cell_01,0.001232,0.000905,0.003715,100
cell_02,0.00126,0.000913,0.004876,100
cell_03,0.000941,0.000705,0.003132,100
cell_04,0.00209,0.001673,0.005197,100
cell_05,0.001207,0.000938,0.003661,100
cell_06,0.001848,0.001151,0.011844,100
cell_07,0.001763,0.001137,0.011193,100
cell_08,0.003639,0.003242,0.014796,100
cell_09,0.002831,0.002357,0.013206,100
cell_10,0.0007,0.000552,0.002125,100
cell_11,0.001102,0.000785,0.005644,100
cell_12,0.001461,0.001161,0.004983,100
cell_13,0.001329,0.000888,0.009233,100
