cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.023324,0.017222,0.118239,1300
cell_01,0.019222,0.013061,0.056653,100
cell_02,0.022055,0.015255,0.078952,100
cell_03,0.022223,0.015862,0.118239,100
cell_04,0.012446,0.009622,0.055228,100
cell_05,0.020194,0.013925,0.070495,100
cell_06,0.017574,0.014334,0.052347,100
cell_07,0.014624,0.012301,0.033391,100
cell_08,0.032586,0.026972,0.091108,100
cell_09,0.039445,0.035208,0.097479,100
cell_10,0.021056,0.014286,0.080753,100
cell_11,0.017942,0.013758,0.046173,100
cell_12,0.024621,0.017895,0.064883,100
cell_13,0.025448,0.021412,0.055214,100
