cell,rmse,mae,max_abs_error,n_samples
global,0.009648,0.007128,0.049657,1300
cell_01,0.007488,0.005123,0.022179,100
cell_02,0.008903,0.006238,0.032118,100
cell_03,0.009376,0.006732,0.049657,100
cell_04,0.00548,0.004426,0.022299,100
cell_05,0.008028,0.005456,0.028807,100
cell_06,0.007282,0.005853,0.021889,100
cell_07,0.005562,0.004653,0.012537,100
cell_08,0.013735,0.011435,0.036833,100
cell_09,0.01692,0.01503,0.04136,100
cell_10,0.008622,0.006002,0.032454,100
cell_11,0.007664,0.006043,0.018489,100
cell_12,0.010257,0.007549,0.026797,100
cell_13,0.009756,0.00812,0.021938,100
