cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004968,0.003511,0.038033,1300
cell_01,0.005371,0.003896,0.016702,100
cell_02,0.004202,0.002722,0.014497,100
cell_03,0.00316,0.002377,0.011374,100
cell_04,0.005436,0.004098,0.01418,100
cell_05,0.00377,0.002745,0.010354,100
cell_06,0.005218,0.0035,0.038033,100
cell_07,0.004512,0.002864,0.035801,100
cell_08,0.009014,0.007837,0.019117,100
cell_09,0.006628,0.006014,0.020377,100
cell_10,0.002286,0.001785,0.006128,100
cell_11,0.003485,0.002387,0.016468,100
cell_12,0.004797,0.003242,0.014887,100
cell_13,0.002738,0.002181,0.006873,100
