cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.019667,0.014948,0.151321,1300
cell_01,0.016366,0.013003,0.035313,100
cell_02,0.01437,0.011137,0.033419,100
cell_03,0.013261,0.010937,0.029669,100
cell_04,0.016073,0.012965,0.035523,100
cell_05,0.01663,0.013462,0.036591,100
cell_06,0.018515,0.013231,0.058394,100
cell_07,0.025273,0.021793,0.051929,100
cell_08,0.022872,0.01766,0.151321,100
cell_09,0.035087,0.02871,0.093662,100
cell_10,0.015114,0.011945,0.042733,100
cell_11,0.012916,0.010251,0.033407,100
cell_12,0.017391,0.013067,0.04977,100
cell_13,0.020243,0.016166,0.045619,100
