cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.022481,0.017466,0.092437,1300
cell_01,0.017861,0.015138,0.038189,100
cell_02,0.016356,0.013907,0.04113,100
cell_03,0.01459,0.011612,0.052965,100
cell_04,0.017572,0.012061,0.078126,100
cell_05,0.019973,0.016524,0.067163,100
cell_06,0.026361,0.023347,0.081137,100
cell_07,0.027224,0.023502,0.090991,100
cell_08,0.021515,0.017263,0.059914,100
cell_09,0.036301,0.031884,0.073473,100
cell_10,0.019674,0.015826,0.057127,100
cell_11,0.014923,0.01155,0.038077,100
cell_12,0.026852,0.017713,0.092437,100
cell_13,0.022699,0.016733,0.060067,100
