cell,rmse,mae,max_abs_error,n_samples
global,0.009316,0.007221,0.038399,1300
cell_01,0.007422,0.006241,0.016022,100
cell_02,0.006787,0.005748,0.016975,100
cell_03,0.005905,0.004608,0.022498,100
cell_04,0.007374,0.005087,0.032467,100
cell_05,0.008415,0.007031,0.027917,100
cell_06,0.010813,0.009543,0.033988,100
cell_07,0.011312,0.00982,0.037963,100
cell_08,0.008899,0.007189,0.024194,100
cell_09,0.014968,0.013103,0.030878,100
cell_10,0.00814,0.006507,0.023775,100
cell_11,0.006165,0.004761,0.015945,100
cell_12,0.011113,0.007255,0.038399,100
cell_13,0.009543,0.006985,0.025507,100
