cell,rmse,mae,max_abs_error,n_samples
global,0.010071,0.007248,0.064027,1300
cell_01,0.007267,0.004994,0.030235,100
cell_02,0.006909,0.004981,0.025927,100
cell_03,0.007456,0.005798,0.034825,100
cell_04,0.007859,0.005812,0.026227,100
cell_05,0.007588,0.005334,0.027187,100
cell_06,0.01138,0.007778,0.034219,100
cell_07,0.013151,0.010532,0.029072,100
cell_08,0.012849,0.011254,0.064027,100
cell_09,0.017533,0.014518,0.044397,100
cell_10,0.008081,0.005927,0.025025,100
cell_11,0.00696,0.004857,0.029545,100
cell_12,0.009768,0.006705,0.035804,100
cell_13,0.00767,0.005734,0.024294,100
