cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.023155,0.017107,0.119176,1300
cell_01,0.017971,0.012295,0.053229,100
cell_02,0.021367,0.014971,0.077083,100
cell_03,0.022503,0.016157,0.119176,100
cell_04,0.013152,0.010623,0.053517,100
cell_05,0.019267,0.013095,0.069137,100
cell_06,0.017477,0.014048,0.052535,100
cell_07,0.013349,0.011167,0.03009,100
cell_08,0.032964,0.027445,0.088399,100
cell_09,0.040609,0.036073,0.099265,100
cell_10,0.020692,0.014406,0.077889,100
cell_11,0.018393,0.014502,0.044375,100
cell_12,0.024618,0.018118,0.064312,100
cell_13,0.023415,0.019487,0.05265,100
