cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.004479,0.003111,0.034929,1300
cell_01,0.003102,0.002288,0.009303,100
cell_02,0.00315,0.002284,0.011428,100
cell_03,0.002293,0.001712,0.007844,100
cell_04,0.005255,0.00425,0.012867,100
cell_05,0.003068,0.002397,0.009181,100
cell_06,0.004499,0.002804,0.028755,100
cell_07,0.004359,0.002837,0.027198,100
cell_08,0.009066,0.008194,0.034929,100
cell_09,0.006722,0.005606,0.031952,100
cell_10,0.001646,0.001278,0.005187,100
cell_11,0.002792,0.002008,0.013917,100
cell_12,0.003532,0.002797,0.011691,100
cell_13,0.003055,0.001982,0.021735,100
