cell,rmse,mae,max_abs_error,n_samples
global,0.009685,0.007169,0.049253,1300
cell_01,0.007556,0.005201,0.022438,100
cell_02,0.008879,0.00624,0.032085,100
cell_03,0.009365,0.006768,0.049253,100
cell_04,0.005557,0.004518,0.021912,100
cell_05,0.007972,0.005385,0.028431,100
cell_06,0.007359,0.005941,0.0218,100
cell_07,0.005748,0.004826,0.012436,100
cell_08,0.013792,0.011474,0.036769,100
cell_09,0.017129,0.015262,0.041617,100
cell_10,0.008606,0.006011,0.032466,100
cell_11,0.00766,0.006059,0.0182,100
cell_12,0.01018,0.007476,0.026809,100
cell_13,0.009708,0.008037,0.021912,100
