cell,rmse,mae,max_abs_error,n_samples
global,0.001026,0.000776,0.007047,1300
cell_01,0.000984,0.000735,0.002431,100
cell_02,0.000996,0.000682,0.002788,100
cell_03,0.000929,0.000596,0.004171,100
cell_04,0.001082,0.000866,0.002646,100
cell_05,0.000913,0.000687,0.002459,100
cell_06,0.001114,0.000716,0.007047,100
cell_07,0.001127,0.000816,0.002505,100
cell_08,0.001527,0.001504,0.002208,100
cell_09,0.001044,0.000893,0.002896,100
cell_10,0.000607,0.000477,0.001606,100
cell_11,0.000848,0.000612,0.002613,100
cell_12,0.001114,0.000829,0.002789,100
cell_13,0.000775,0.000672,0.001725,100
