cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.001717,0.001318,0.010592,1300
cell_01,0.001685,0.001335,0.004335,100
cell_02,0.001479,0.001129,0.004539,100
cell_03,0.001567,0.001245,0.004753,100
cell_04,0.001962,0.001545,0.004878,100
cell_05,0.001538,0.00118,0.003689,100
cell_06,0.001914,0.001381,0.010592,100
cell_07,0.001502,0.001134,0.006275,100
cell_08,0.001002,0.000792,0.004144,100
cell_09,0.002466,0.001949,0.007114,100
cell_10,0.001148,0.00094,0.003307,100
cell_11,0.001641,0.001302,0.004117,100
cell_12,0.002077,0.001754,0.004515,100
cell_13,0.001809,0.001446,0.005328,100
