cell,rmse,mae,max_abs_error,n_samples
global,0.006259,0.005008,0.037579,1300
cell_01,0.005265,0.004109,0.018215,100
cell_02,0.006284,0.005175,0.019798,100
cell_03,0.005269,0.004167,0.022959,100
cell_04,0.0041,0.002789,0.021236,100
cell_05,0.006498,0.0056,0.017585,100
cell_06,0.007203,0.005743,0.024517,100
cell_07,0.007186,0.005913,0.025248,100
cell_08,0.00604,0.00531,0.026195,100
cell_09,0.008987,0.006729,0.037579,100
cell_10,0.006071,0.005311,0.013859,100
cell_11,0.004448,0.003639,0.015195,100
cell_12,0.005775,0.004717,0.01993,100
cell_13,0.006677,0.005899,0.017893,100
