cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.029998,0.019368,0.111322,1300
cell_01,0.015877,0.01275,0.0434,100
cell_02,0.015109,0.011835,0.063942,100
cell_03,0.01422,0.010604,0.039365,100
cell_04,0.011605,0.009387,0.035784,100
cell_05,0.019462,0.016496,0.057355,100
cell_06,0.016417,0.012199,0.071791,100
cell_07,0.016821,0.013881,0.048767,100
cell_08,0.08414,0.081713,0.111322,100
cell_09,0.032098,0.022008,0.073316,100
cell_10,0.019958,0.013933,0.080649,100
cell_11,0.012691,0.010174,0.042534,100
cell_12,0.023703,0.013711,0.102934,100
cell_13,0.026809,0.023098,0.064793,100
