cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.019662,0.014942,0.150917,1300
cell_01,0.01633,0.012965,0.035888,100
cell_02,0.014355,0.011144,0.033137,100
cell_03,0.013264,0.010946,0.029611,100
cell_04,0.015997,0.012896,0.035066,100
cell_05,0.016685,0.013501,0.037188,100
cell_06,0.018482,0.013205,0.058429,100
cell_07,0.0253,0.021828,0.051715,100
cell_08,0.022818,0.017618,0.150917,100
cell_09,0.03507,0.028706,0.093487,100
cell_10,0.015189,0.011985,0.043328,100
cell_11,0.012939,0.010223,0.033479,100
cell_12,0.017421,0.013083,0.050166,100
cell_13,0.02022,0.016149,0.045301,100
