model,precision,batch_size,global_rmse_ah,global_maxe_ah,cell_01_rmse_ah,cell_02_rmse_ah,cell_03_rmse_ah,cell_04_rmse_ah,cell_05_rmse_ah,cell_06_rmse_ah,cell_07_rmse_ah,cell_08_rmse_ah,cell_09_rmse_ah,cell_10_rmse_ah,cell_11_rmse_ah,cell_12_rmse_ah,cell_13_rmse_ah,p95_latency_ms,mean_latency_ms,throughput_cells_per_sec,norm_latency_ms_per_cell,mean_power_mw_total,mean_power_mw_gpu,energy_per_inference_mj
CNN-GRU,fp16,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,6.9779,6.905,144.8233,6.905,4923.83,1501.36,33.999
CNN-GRU,fp32,1,0.029998,0.111322,0.015877,0.015109,0.01422,0.011605,0.019462,0.016417,0.016821,0.08414,0.032098,0.019958,0.012691,0.023703,0.026809,7.0285,6.9949,142.9612,6.9949,4958.65,1513.65,34.6853
CNN-GRU,int8,1,0.029926,0.113718,0.014559,0.013817,0.013089,0.010814,0.017766,0.016402,0.018012,0.085468,0.033305,0.018675,0.011181,0.023173,0.02484,6.9853,6.946,143.968,6.946,4928.79,1506.95,34.2354
CNN-GRU,fp16,32,0.029357,0.111695,0.015027,0.01369,0.013125,0.011625,0.017572,0.016035,0.018793,0.082537,0.033649,0.018534,0.010898,0.023633,0.024471,7.7227,7.715,4147.7754,0.2411,5130.5,1582.0,39.5818
CNN-GRU,fp32,32,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,10.2567,10.2258,3129.3472,0.3196,5323.33,1623.0,54.4353
CNN-GRU,int8,32,0.029369,0.111695,0.015064,0.013631,0.013134,0.011564,0.017633,0.016027,0.018828,0.082565,0.033692,0.018547,0.010893,0.023606,0.024485,8.1361,7.7752,4115.6409,0.243,5130.25,1582.0,39.8887
CNN-GRU,fp16,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,12.2244,11.6988,8205.976,0.1219,5465.5,1663.0,63.9398
CNN-GRU,fp32,96,0.029997,0.111368,0.015872,0.015105,0.014216,0.011602,0.019451,0.016433,0.016818,0.084146,0.032098,0.019949,0.012686,0.023699,0.026799,15.0021,14.5994,6575.6206,0.1521,5903.5,1744.0,86.1876
CNN-GRU,int8,96,0.029378,0.111695,0.015043,0.01369,0.013146,0.011538,0.017583,0.016065,0.018752,0.082625,0.033693,0.01851,0.010905,0.02362,0.024484,12.2763,11.4228,8404.2244,0.119,5527.0,1663.0,63.1338
CNN-LSTM,fp16,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,6.7195,6.6829,149.6357,6.6829,4974.5,1514.75,33.2441
CNN-LSTM,fp32,1,0.023331,0.118313,0.019233,0.022064,0.022215,0.012437,0.020211,0.017581,0.014655,0.032591,0.039446,0.021071,0.017937,0.02462,0.025472,6.7614,6.7186,148.8411,6.7186,4961.63,1508.09,33.3352
CNN-LSTM,int8,1,0.023245,0.118207,0.018134,0.02131,0.022476,0.013337,0.019132,0.017662,0.013795,0.033101,0.041109,0.020656,0.018384,0.024432,0.0233,6.7368,6.6978,149.3027,6.6978,4964.8,1512.99,33.2532
CNN-LSTM,fp16,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,8.5954,8.574,3732.217,0.2679,5022.6,1541.0,43.0638
CNN-LSTM,fp32,32,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014624,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,9.7047,9.6472,3317.0286,0.3015,5275.83,1595.67,50.897
CNN-LSTM,int8,32,0.023155,0.119176,0.017971,0.021367,0.022503,0.013152,0.019267,0.017477,0.013349,0.032964,0.040609,0.020692,0.018393,0.024618,0.023415,8.7474,8.6914,3681.8054,0.2716,5071.8,1541.0,44.081
CNN-LSTM,fp16,96,0.023171,0.119176,0.018051,0.021385,0.022522,0.013179,0.019262,0.017464,0.013343,0.03296,0.040637,0.020715,0.018408,0.024618,0.023447,11.5379,10.7391,8939.3135,0.1119,5425.0,1623.0,58.2596
CNN-LSTM,fp32,96,0.023324,0.118239,0.019222,0.022055,0.022223,0.012446,0.020194,0.017574,0.014623,0.032586,0.039445,0.021056,0.017942,0.024621,0.025448,14.6524,14.2809,6722.2487,0.1488,5822.0,1724.0,83.1434
