cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.001717,0.001318,0.010612,1300
cell_01,0.001686,0.001332,0.00432,100
cell_02,0.00148,0.001126,0.004548,100
cell_03,0.001561,0.001233,0.004752,100
cell_04,0.001967,0.00155,0.004897,100
cell_05,0.001543,0.001183,0.003686,100
cell_06,0.001911,0.00138,0.010612,100
cell_07,0.001508,0.001147,0.006142,100
cell_08,0.000997,0.00079,0.004079,100
cell_09,0.002471,0.001954,0.007133,100
cell_10,0.001145,0.000937,0.003327,100
cell_11,0.001639,0.001301,0.004102,100
cell_12,0.002074,0.001751,0.004523,100
cell_13,0.001813,0.001451,0.00535,100
