cell,rmse_ah,mae_ah,max_abs_error_ah,n_samples
global,0.015021,0.012015,0.090245,1300
cell_01,0.01263,0.009858,0.043694,100
cell_02,0.015079,0.012416,0.047567,100
cell_03,0.012645,0.009995,0.055111,100
cell_04,0.009838,0.006687,0.050965,100
cell_05,0.015582,0.013429,0.042205,100
cell_06,0.017281,0.013777,0.05882,100
cell_07,0.017247,0.014195,0.060614,100
cell_08,0.014519,0.012768,0.062947,100
cell_09,0.021568,0.016139,0.090245,100
cell_10,0.014567,0.012742,0.033222,100
cell_11,0.010675,0.00873,0.036477,100
cell_12,0.013852,0.011314,0.0479,100
cell_13,0.016019,0.014149,0.042982,100
